stationName,Province,Climate.ID,Station.ID,WMO.ID,TC.ID,Latitude..Decimal.Degrees.,Longitude..Decimal.Degrees.,Latitude,Longitude,Elevation..m.,First.Year,Last.Year,HLY.First.Year,HLY.Last.Year,DLY.First.Year,DLY.Last.Year,MLY.First.Year,MLY.Last.Year
FORT RESOLUTION A,NORTHWEST TERRITORIES,2202001,53324,NA,YFR,61.18,-113.69,611051000,-1134123000,160.6,2014,2023,2014,2020,NA,NA,NA,NA
FORT RESOLUTION A,NORTHWEST TERRITORIES,2202010,53322,NA,YFR,61.18,-113.69,611051000,-1134123000,160.6,2014,2023,2014,2020,2018,2023,NA,NA
FORT SIMPSON A,NORTHWEST TERRITORIES,2202101,1656,71946,YFS,61.76,-121.24,614537000,-1211412000,169.2,1963,2014,1980,2014,1963,2014,1963,2010
FORT SIMPSON CLIMATE,NORTHWEST TERRITORIES,2202102,41944,71365,ZFS,61.76,-121.24,614537000,-1211412000,168,2003,2023,2003,2020,2003,2023,2003,2007
FORT SIMPSON A,NORTHWEST TERRITORIES,2202103,52780,71946,YFS,61.76,-121.24,614537000,-1211412000,169.5,2014,2023,2014,2020,2014,2023,NA,NA
FORT SIMPSON A,NORTHWEST TERRITORIES,2202104,54159,NA,YFS,61.76,-121.24,614537000,-1211412000,169.5,2016,2023,2016,2020,2018,2023,NA,NA
FORT SIMPSON,NORTHWEST TERRITORIES,2202115,27609,NA,XFS,61.76,-121.24,614537000,-1211412000,169.2,1998,2010,1998,2010,1998,2010,1998,2000
FORT SMITH A,NORTHWEST TERRITORIES,2202200,1660,71934,YSM,60.02,-111.96,600113000,-1115743000,205.13,1943,2014,1980,2014,1943,2014,1943,2014
FORT SMITH A,NORTHWEST TERRITORIES,2202201,53119,71934,YSM,60.02,-111.96,600113000,-1115743000,205.1,2014,2023,2014,2020,2014,2023,NA,NA
FORT SMITH CLIMATE,NORTHWEST TERRITORIES,2202202,41884,71362,ZSM,60.03,-111.93,600134000,-1115546000,203,2003,2023,2003,2020,2003,2023,2003,2007
FORT SMITH A,NORTHWEST TERRITORIES,2202203,54218,NA,YSM,60.02,-111.96,600113000,-1115743000,205.1,2016,2023,2016,2020,2018,2023,NA,NA
HALDANE RIVER,NORTHWEST TERRITORIES,2202349,26868,NA,WNW,67.07,-121.1,670400000,-1210600000,242.5,1995,1999,1995,1999,1995,1999,1998,1998
HANBURY RIVER,NORTHWEST TERRITORIES,2202351,10897,71963,WQY,63.6,-105.13,633600000,-1050800000,317.4,1994,2023,1994,2020,1994,2023,1998,2007
HAY RIVER A,NORTHWEST TERRITORIES,2202400,1664,71935,YHY,60.84,-115.78,605023000,-1154658000,164.9,1943,2014,1980,2014,1943,2014,1943,2014
HAY RIVER A,NORTHWEST TERRITORIES,2202401,52600,71935,YHY,60.84,-115.78,605023000,-1154658000,164.9,2014,2023,2014,2020,2014,2023,NA,NA
HAY RIVER CLIMATE,NORTHWEST TERRITORIES,2202402,41885,71361,ZHY,60.84,-115.78,605020000,-1154636000,164,2003,2023,2003,2020,2003,2023,2003,2007
HAY RIVER A,NORTHWEST TERRITORIES,2202403,54140,NA,YHY,60.84,-115.78,605023000,-1154658000,164.9,2016,2023,2016,2020,2018,2023,NA,NA
INDIN RIVER,NORTHWEST TERRITORIES,2202552,10757,NA,WIE,64.39,-115.02,642320000,-1150116000,304.7,1994,2004,1994,2004,1994,2002,1996,2002
INNER WHALEBACKS,NORTHWEST TERRITORIES,2202560,10209,71162,WBJ,61.92,-113.73,615513030,-1134335040,165.2,1994,2023,1994,2020,1994,2023,1998,2007
INUVIK A,NORTHWEST TERRITORIES,2202570,1669,NA,YEV,68.3,-133.48,681815000,-1332858000,67.7,1957,2013,1980,2013,1957,2006,1957,2006
INUVIK A,NORTHWEST TERRITORIES,2202571,51477,NA,YEV,68.3,-133.48,681814000,-1332859000,67.7,2013,2023,2013,2020,2018,2023,NA,NA
INUVIK AWOS A,NORTHWEST TERRITORIES,2202575,31470,71957,YEV,68.3,-133.48,681800000,-1332900000,67.67,2006,2013,2006,2013,2006,2013,2006,2007
INUVIK CLIMATE,NORTHWEST TERRITORIES,2202578,41883,71364,ZEV,68.32,-133.52,681900000,-1333100000,103,2003,2023,2003,2020,2003,2023,2003,2007
JEAN MARIE,NORTHWEST TERRITORIES,2202640,27794,NA,XJM,61.35,-120.78,612100000,-1204700000,227.27,1999,2000,1999,2000,1999,2000,NA,NA
KEATS POINT,NORTHWEST TERRITORIES,2202663,10825,71058,WKP,69.67,-121.67,694022000,-1214021000,330.2,1998,2022,1998,2020,2001,2022,2006,2006
WHATI,NORTHWEST TERRITORIES,2202678,1674,71163,WMT,63.13,-117.24,630801070,-1171441050,271.3,1974,2023,1980,2020,1974,2023,1974,2007
LUTSELK'E A,NORTHWEST TERRITORIES,2202687,53510,NA,YLK,62.42,-110.68,622506000,-1104056000,178.6,2015,2023,2015,2020,NA,NA,NA,NA
LUTSELK'E A,NORTHWEST TERRITORIES,2202690,53508,NA,YLK,62.42,-110.68,622506000,-1104056000,178.6,2015,2023,2015,2020,2018,2023,NA,NA
NICHOLSON PENINSULA,NORTHWEST TERRITORIES,2202750,1679,NA,WRP,69.93,-128.97,695600000,-1285800000,88.7,1957,2010,1980,2010,1957,2010,1957,1993
NICHOLSON PENINSULA 1,NORTHWEST TERRITORIES,2202754,10846,NA,,69.92,-128.97,695529000,-1285827000,90.7,1992,1993,1992,1993,1992,1993,NA,NA
NORMAN WELLS A,NORTHWEST TERRITORIES,2202800,1680,NA,,65.28,-126.8,651657000,-1264801000,72.54,1943,2012,1980,2012,1943,2012,1943,2012
NORMAN WELLS A,NORTHWEST TERRITORIES,2202801,50717,71043,YVQ,65.28,-126.8,651653000,-1264755000,72.5,2012,2023,2012,2020,2012,2023,NA,NA
NORMAN WELLS CLIMATE,NORTHWEST TERRITORIES,2202810,43004,71480,NVQ,65.29,-126.75,651715090,-1264512084,93.6,2003,2023,2003,2020,2004,2023,2005,2007
PAULATUK A,NORTHWEST TERRITORIES,2203055,53420,NA,YPC,69.36,-124.08,692138000,-1240433000,4.6,2015,2023,2015,2020,2018,2023,NA,NA
PAULATUK A,NORTHWEST TERRITORIES,2203056,53418,NA,YPC,69.36,-124.08,692138000,-1240433000,4.6,2015,2023,2015,2020,NA,NA,NA,NA
PAULATUK A,NORTHWEST TERRITORIES,2203057,1685,NA,YPC,69.36,-124.08,692140000,-1240431000,4.57,1985,2015,1985,2015,1985,2014,1985,2007
PAULATUK,NORTHWEST TERRITORIES,2203058,26986,71984,ZPK,69.36,-124.08,692128004,-1240457005,6.3,1994,2023,1994,2020,1994,2023,2000,2007
PELLY ISLAND,NORTHWEST TERRITORIES,2203095,10091,71502,WND,69.63,-135.44,693757000,-1352638000,17,1993,2023,1993,2020,1993,2023,2006,2006
PORT RADIUM (AUT),NORTHWEST TERRITORIES,2203305,8944,NA,,66.08,-117.93,660500000,-1175600000,438,1977,1983,1980,1983,NA,NA,NA,NA
POWDER LAKE,NORTHWEST TERRITORIES,2203315,10931,NA,WMP,61.97,-108.62,615800000,-1083700000,485,1994,2003,1994,2003,1994,2003,1996,2003
QAVVIK LAKE,NORTHWEST TERRITORIES,2203341,27889,71583,XQA,68.25,-122.1,681516000,-1220610000,548,1999,2011,1999,2011,1999,2011,2000,2007
RABBIT KETTLE,NORTHWEST TERRITORIES,2203342,26895,71980,WQF,61.96,-127.21,615747000,-1271233000,618,1995,2023,1995,2020,1995,2023,1998,2007
GAMETI,NORTHWEST TERRITORIES,2203359,10926,71165,WYH,64.11,-117.33,640642078,-1171940086,221,1994,2023,1994,2020,1994,2023,2005,2006
GAMETI AIRPORT,NORTHWEST TERRITORIES,2203361,27798,NA,YRA,64.12,-117.31,640700000,-1171834000,220.4,2000,2014,2000,2014,2000,2014,2000,2007
GAMETI A,NORTHWEST TERRITORIES,2203362,51886,NA,YRA,64.12,-117.31,640658000,-1171835000,220.7,2013,2023,2013,2020,NA,NA,NA,NA
GAMETI A,NORTHWEST TERRITORIES,2203365,52966,NA,YRA,64.12,-117.31,640658000,-1171835000,220.7,2014,2023,2014,2020,2018,2023,NA,NA
RAMPART RIVER,NORTHWEST TERRITORIES,2203390,26833,NA,WMU,65.95,-130.47,655700000,-1302800000,154.5,1994,2003,1994,2003,1994,2003,1996,2002
ST CHARLES CREEK,NORTHWEST TERRITORIES,2203656,26896,NA,WMV,64.78,-124.22,644700000,-1241300000,341,1995,2003,1995,2003,1995,2003,1998,2002
TUKTOYAKTUK,NORTHWEST TERRITORIES,2203910,1699,NA,,69.45,-133,692700000,-1330000000,18.3,1957,1993,1980,1993,1957,1993,1957,1993
TUKTOYAKTUK A,NORTHWEST TERRITORIES,2203911,53582,NA,YUB,69.43,-133.03,692600000,-1330135000,4.3,2015,2023,2015,2020,2018,2023,NA,NA
TUKTOYAKTUK A,NORTHWEST TERRITORIES,2203912,1700,NA,YUB,69.43,-133.03,692600000,-1330135000,4.27,1970,2015,1980,2015,1970,2015,1970,2007
TUKTOYAKTUK A,NORTHWEST TERRITORIES,2203913,53581,NA,YUB,69.43,-133.03,692600000,-1330135000,4.3,2015,2023,2015,2020,NA,NA,NA,NA
TUKTOYAKTUK,NORTHWEST TERRITORIES,2203914,26987,71985,ZUB,69.43,-133.02,692600000,-1330100000,4.6,1994,2023,1994,2020,1995,2023,1999,2006
TUKTUT NOGAIT,NORTHWEST TERRITORIES,2203918,27626,71492,XTN,69.2,-122.36,691156000,-1222133000,551.6,1998,2023,1998,2020,1998,2023,1998,2007
VIRGINIA FALLS,NORTHWEST TERRITORIES,2203943,8947,NA,WFV,61.63,-125.8,613800000,-1254800000,609.6,1994,2009,1994,2009,1994,2009,1998,2002
WEKWEETI A,NORTHWEST TERRITORIES,2203980,50721,73125,YWE,64.19,-114.08,641127000,-1140436000,368.2,2012,2023,2012,2020,2018,2023,NA,NA
WRIGLEY A,NORTHWEST TERRITORIES,2204000,1705,NA,YWY,63.21,-123.44,631234000,-1232612000,149.7,1943,2015,1980,2015,1943,2015,1943,2007
WRIGLEY A,NORTHWEST TERRITORIES,2204001,53600,NA,YWY,63.21,-123.44,631235000,-1232612000,149.7,2015,2023,2015,2020,NA,NA,NA,NA
WRIGLEY A,NORTHWEST TERRITORIES,2204005,53601,NA,YWY,63.21,-123.44,631235000,-1232612000,149.7,2015,2023,2015,2020,2018,2023,NA,NA
YELLOWKNIFE A,NORTHWEST TERRITORIES,2204100,1706,71936,YZF,62.46,-114.44,622746000,-1142625000,205.7,1942,2013,1980,2013,1942,2013,1942,2007
YELLOWKNIFE A,NORTHWEST TERRITORIES,2204101,51058,71936,YZF,62.46,-114.44,622747000,-1142625000,205.7,2013,2023,2013,2020,2013,2023,NA,NA
YOHIN,NORTHWEST TERRITORIES,2204300,1635,71020,XYH,61.24,-123.74,611431000,-1234430000,204,1957,2023,1980,2020,1957,2023,1957,2007
LIVERPOOL BAY,NORTHWEST TERRITORIES,220B68C,10823,71960,WLI,69.6,-130.91,693615000,-1305438000,101.9,1992,2023,1992,2020,1992,2023,2005,2007
LITTLE CHICAGO,NORTHWEST TERRITORIES,220B6Q3,10760,71164,WLG,67.18,-130.23,671045000,-1301341000,62.5,1993,2023,1993,2020,1993,2023,2005,2007
TUKTOYAKTUK 1,NORTHWEST TERRITORIES,220C9JK,10845,NA,,69.44,-133,692637000,-1325957000,17.3,1992,1993,1992,1993,1993,1993,NA,NA
SAMBAA K'E,NORTHWEST TERRITORIES,220CQHR,10880,71166,WTE,60.44,-121.24,602627000,-1211420000,498,1994,2023,1994,2020,1994,2023,2006,2007
LUTSELK'E A,NORTHWEST TERRITORIES,220L001,27797,NA,YLK,62.42,-110.68,622507000,-1104056000,178.6,1999,2016,1999,2016,1999,2016,1999,2007
LUTSELK'E CS,NORTHWEST TERRITORIES,220L002,29451,71529,XLU,62.42,-110.69,622456030,-1104125070,178.9,1999,2017,1999,2017,2000,2017,2000,2007
GRAY LAKE,NORTHWEST TERRITORIES,220LBQK,10929,NA,WJP,61.92,-108.43,615500000,-1082600000,451.1,1994,2001,1994,2001,1994,2001,1996,2000
STORM HILLS,NORTHWEST TERRITORIES,220LQJJ,10824,71052,WVH,68.91,-133.94,685439000,-1335630000,261.4,1993,2023,1993,2020,1993,2023,2000,2000
EKATI A,NORTHWEST TERRITORIES,220N001,27240,NA,YOA,64.7,-110.61,644156000,-1103653000,468.2,1997,2016,1997,2016,1998,2016,1998,2007
LINDBURG LANDING,NORTHWEST TERRITORIES,220N003,27608,71682,XLL,61.13,-122.85,610730000,-1225104000,183,1998,2023,1998,2020,1998,2023,1998,2007
LOWER CARP LAKE,NORTHWEST TERRITORIES,220N004,27610,71680,XLC,63.6,-113.86,633610080,-1135145040,373.4,1992,2022,1992,2020,1998,2022,1998,2006
TRAIL VALLEY,NORTHWEST TERRITORIES,220N005,27620,71683,XTV,68.75,-133.5,684446800,-1333006400,85,1998,2023,1998,2020,1998,2023,2002,2006
ARVIAT AWOS,NUNAVUT,2300426,47427,NA,YEK,61.1,-94.07,610600000,-940400000,10.4,2008,2012,2008,2012,2008,2012,NA,NA
ARVIAT A,NUNAVUT,2300427,50557,71174,YEK,61.09,-94.07,610538000,-940418000,10.4,2006,2023,2006,2020,2012,2023,NA,NA
ARVIAT A,NUNAVUT,2300428,50718,NA,YEK,61.09,-94.07,610538000,-940418000,10.4,2012,2023,2012,2020,NA,NA,NA,NA
BAKER LAKE A,NUNAVUT,2300500,1709,71926,YBK,64.3,-96.08,641756000,-960440000,18.6,1946,2013,1980,2013,1946,2013,1946,2013
BAKER LAKE CLIMATE,NUNAVUT,2300501,42583,71356,XBL,64.32,-96,641900000,-960000000,50.8,2004,2023,2004,2020,2004,2023,2005,2007
BAKER LAKE A,NUNAVUT,2300503,51417,71926,YBK,64.3,-96.08,641756000,-960440000,18.6,2013,2023,2013,2020,2013,2023,NA,NA
BAKER LAKE A,NUNAVUT,2300504,54138,NA,YBK,64.3,-96.08,641756000,-960440000,18.6,2016,2023,2016,2020,2018,2023,NA,NA
BATHURST INLET,NUNAVUT,2300551,50657,71874,NBI,66.84,-108.01,665015050,-1080053030,5,2012,2023,2012,2020,2012,2023,NA,NA
BERNARD HARBOUR,NUNAVUT,2300555,1630,NA,,68.78,-114.83,684700000,-1145000000,64.6,1959,1993,1980,1993,1959,1993,1959,1963
CHESTERFIELD,NUNAVUT,2300700,1710,NA,,63.33,-90.72,632000000,-904300000,6.4,1930,1984,1980,1984,1930,1981,1930,1981
CHESTERFIELD INLET A,NUNAVUT,2300701,51998,NA,YCS,63.35,-90.73,632050000,-904352000,9.8,2013,2023,2013,2020,NA,NA,NA,NA
CHESTERFIELD INLET A,NUNAVUT,2300707,1712,NA,YCS,63.35,-90.73,632049000,-904352000,9.8,1985,2014,1985,2014,1985,2014,1985,2007
CHESTERFIELD INLET A,NUNAVUT,2300710,52968,NA,YCS,63.35,-90.73,632050000,-904352000,9.8,2014,2023,2014,2020,2018,2023,NA,NA
CLINTON POINT,NUNAVUT,2300750,1637,71053,WXK,69.58,-120.8,693500000,-1204800000,100.6,1957,1993,1980,1993,1957,1993,1957,1993
CONTWOYTO LAKE,NUNAVUT,2300850,1639,NA,,65.48,-110.37,652900000,-1102200000,451.4,1956,1981,1980,1981,1959,1981,1959,1981
KUGLUKTUK A,NUNAVUT,2300902,1641,71938,YCO,67.82,-115.14,674900000,-1150838000,22.6,1977,2014,1980,2014,1977,2014,1977,2014
KUGLUKTUK A,NUNAVUT,2300903,53335,71938,YCO,67.82,-115.14,674900000,-1150838000,22.6,2014,2023,2014,2020,2014,2023,NA,NA
KUGLUKTUK CLIMATE,NUNAVUT,2300904,43003,71332,NCO,67.82,-115.14,674902004,-1150807000,22.6,2004,2023,2004,2020,2004,2023,2005,2007
KUGLUKTUK A,NUNAVUT,2300905,54158,NA,YCO,67.82,-115.14,674900000,-1150838000,22.6,2016,2023,2016,2020,2018,2023,NA,NA
ARVIAT A,NUNAVUT,2300MKF,1708,NA,YEK,61.1,-94.07,610600000,-940400000,10.4,1973,2016,1980,2016,1973,2016,1973,2007
BACK RIVER (AUT),NUNAVUT,2300MQM,10723,NA,WXV,66.09,-96.51,660510014,-963039000,61,1994,2004,1994,2004,1995,2004,1999,2003
CORAL HARBOUR A,NUNAVUT,2301000,1713,71915,YZS,64.19,-83.36,641136000,-832134000,62.2,1933,2015,1980,2015,1933,2015,1933,2015
CORAL HARBOUR A,NUNAVUT,2301002,53421,71915,YZS,64.19,-83.36,641136000,-832134000,62.2,2015,2023,2015,2020,2015,2023,NA,NA
CORAL HARBOUR A,NUNAVUT,2301004,54220,NA,YZS,64.19,-83.36,641136000,-832134000,62.2,2016,2023,2016,2020,2018,2023,NA,NA
CORAL HARBOUR RCS,NUNAVUT,2301010,47347,71134,NZS,64.18,-83.35,641100000,-832100000,57,2014,2023,2014,2020,2014,2023,NA,NA
ELLICE RIVER (AUT),NUNAVUT,2301094,10895,NA,WEV,67.72,-104.47,674300000,-1042800000,42,1994,2007,1994,2007,1994,2007,2006,2006
ENNADAI LAKE (AUT),NUNAVUT,2301102,7341,71923,WJC,61.13,-100.88,610755000,-1005302000,353.1,1994,2023,1994,2020,1994,2023,1998,2007
ARVIAT CLIMATE,NUNAVUT,2301153,41576,71322,XAR,61.1,-94.07,610600000,-940400000,9.8,2004,2023,2004,2020,2004,2023,2005,2007
BROWN RIVER,NUNAVUT,2301331,10971,NA,WBR,66.03,-91.83,660200000,-915000000,150,1994,2004,1994,2004,1994,2004,1996,2001
GJOA HAVEN A,NUNAVUT,2302335,1715,NA,YHK,68.64,-95.85,683808000,-955101000,46.9,1984,2014,1984,2014,1984,2014,1984,2007
GJOA HAVEN A,NUNAVUT,2302336,51082,NA,YHK,68.64,-95.85,683808000,-955101000,46.9,2013,2023,2013,2020,NA,NA,NA,NA
GJOA HAVEN A,NUNAVUT,2302337,51079,71597,YHK,68.64,-95.85,683808000,-955101000,46.9,2013,2023,2013,2020,2013,2023,NA,NA
GJOA HAVEN AWOS A,NUNAVUT,2302338,31268,NA,YHK,68.64,-95.85,683808000,-955101000,46.94,2008,2013,2008,2013,NA,NA,NA,NA
GJOA HAVEN CLIMATE,NUNAVUT,2302340,41943,71363,ZHK,68.64,-95.85,683808000,-955101000,42.3,2003,2023,2003,2020,2003,2023,2003,2007
HARDING RIVER,NUNAVUT,2302353,10827,NA,,68.84,-117,685007000,-1165958000,89.7,1992,1993,1992,1993,1993,1993,NA,NA
HAT ISLAND,NUNAVUT,2302370,1716,71084,WIL,68.32,-100.09,681905000,-1000513000,36.1,1959,2023,1980,2020,1959,2023,1959,2007
JENNY LIND ISLAND,NUNAVUT,2302649,10829,NA,,68.75,-101.85,684458000,-1015110000,78.5,1992,1993,1992,1993,1993,1993,NA,NA
JENNY LIND ISLAND A,NUNAVUT,2302650,1717,71071,YUQ,68.65,-101.73,683900000,-1014400000,18.3,1957,1992,1980,1992,1957,1992,1957,1992
LADY FRANKLIN POINT A,NUNAVUT,2302680,1675,71937,YUJ,68.5,-113.22,683000000,-1131300000,15.9,1957,2000,1980,2000,1957,2000,1957,1993
LUPIN (AUT),NUNAVUT,2302685,8941,NA,,65.77,-111.23,654600000,-1111400000,499.6,1993,1995,1993,1995,1993,1995,NA,NA
LUPIN A,NUNAVUT,23026HN,1671,NA,YWO,65.76,-111.25,654533000,-1111500000,490.1,1982,2006,1982,2006,1982,2006,1982,2006
PELLY BAY,NUNAVUT,2303090,1718,NA,WKE,68.43,-89.72,682600000,-894300000,325.8,1955,1992,1980,1992,1957,1992,1957,1992
KUGAARUK A,NUNAVUT,2303091,53515,NA,YBB,68.54,-89.81,683209000,-894819000,15.5,2015,2023,2015,2020,NA,NA,NA,NA
KUGAARUK A,NUNAVUT,2303092,1719,NA,YBB,68.54,-89.8,683226000,-894750000,15.54,1984,2015,1984,2015,1984,2012,1984,2007
PELLY BAY,NUNAVUT,2303093,10847,71918,WRF,68.44,-89.73,682613000,-894333000,324.45,1994,2022,1994,2020,1994,2022,2005,2007
KUGAARUK CLIMATE,NUNAVUT,2303094,43006,71407,NBB,68.54,-89.8,683215060,-894747020,15.8,2004,2023,2004,2020,2004,2023,2007,2007
KUGAARUK A,NUNAVUT,2303095,53518,NA,YBB,68.54,-89.81,683209000,-894819000,15.5,2015,2023,2015,2020,2018,2023,NA,NA
RANKIN INLET A,NUNAVUT,2303401,1721,71083,YRT,62.82,-92.12,624900000,-920700000,32.31,1981,2013,1981,2013,1981,2013,1981,2013
RANKIN INLET A,NUNAVUT,2303405,51277,71083,YRT,62.81,-92.11,624838000,-920653000,32.3,2013,2023,2013,2020,2013,2023,NA,NA
ROBERTSON LAKE (AUT),NUNAVUT,2303610,7337,71490,WTD,65.1,-102.43,650559000,-1022546000,243.7,1992,2023,1992,2020,1994,2023,1998,2007
SANIKILUAQ A,NUNAVUT,2303660,53336,NA,YSK,56.54,-79.25,563213000,-791500000,33.5,2014,2023,2014,2020,2018,2023,NA,NA
SANIKILUAQ A,NUNAVUT,2303666,53337,NA,YSK,56.54,-79.25,563213000,-791500000,33.5,2014,2023,2014,2020,NA,NA,NA,NA
SANIKILUAQ A,NUNAVUT,2303667,8274,NA,YSK,56.54,-79.25,563209000,-791449000,33.53,1988,2014,1988,2014,NA,NA,NA,NA
SANIKILUAQ,NUNAVUT,2303668,52658,71643,NSQ,56.54,-79.26,563214460,-791537074,34,2014,2023,2014,2020,2014,2023,NA,NA
SHEPHERD BAY A,NUNAVUT,2303685,1723,71911,YUS,68.82,-93.43,684900000,-932600000,42.7,1957,2023,1980,2020,1957,2023,1957,2006
SIMPSON LAKE,NUNAVUT,2303693,10833,NA,,68.6,-91.95,683600000,-915700000,282.5,1992,1993,1992,1993,1993,1993,NA,NA
STURT POINT NORTH,NUNAVUT,2303831,10832,NA,,68.97,-103.77,685800000,-1034600000,106,1992,1993,1992,1993,1993,1993,NA,NA
WHALE COVE A,NUNAVUT,2303986,1727,NA,YXN,62.24,-92.6,621424000,-923553000,12.19,1984,2014,1984,2014,1985,2014,1985,2007
WHALE COVE A,NUNAVUT,2303987,51443,NA,YXN,62.24,-92.6,621424000,-923553000,12.2,2013,2023,2013,2020,NA,NA,NA,NA
WHALE COVE A,NUNAVUT,2303990,52984,NA,YXN,62.24,-92.6,621424000,-923553000,12.2,2014,2023,2014,2020,2018,2023,NA,NA
YATHKYED LAKE (AUT),NUNAVUT,2304058,10803,NA,WJY,62.71,-98.29,624222000,-981718000,148.2,1993,2004,1993,2004,1993,2004,1998,2004
MALLOCH DOME (AUT),NUNAVUT,230BF86,7338,NA,WCN,78.22,-101.05,781300000,-1010300000,12,1981,1983,1981,1983,NA,NA,NA,NA
CROKER RIVER,NUNAVUT,230J01Q,10826,71059,WXR,69.28,-119.22,691632000,-1191308000,69.4,1993,2022,1993,2020,1993,2022,2005,2007
DUBAWNT LAKE (AUT),NUNAVUT,230J048,10802,NA,WJZ,63.23,-101.76,631336000,-1014544000,237.4,1993,2005,1993,2005,1993,2005,1998,2005
GJOA HAVEN,NUNAVUT,230KLLM,10830,NA,,68.66,-95.87,683941000,-955211000,51.1,1992,1993,1992,1993,1992,1993,NA,NA
LUPIN CS,NUNAVUT,230N002,27376,71470,WIJ,65.76,-111.25,654519050,-1111445030,488,1997,2023,1997,2020,1997,2023,2004,2007
ALERT,NUNAVUT,2400300,1731,NA,WLT,82.52,-62.28,823104000,-621650000,30.48,1950,2006,1980,2006,1950,2006,1950,2006
ALERT A,NUNAVUT,2400302,7559,NA,YLT,82.52,-62.28,823100000,-621700000,30.5,1988,2023,1988,2020,NA,NA,NA,NA
ALERT BASE (AUT),NUNAVUT,2400304,7350,NA,WML,82.5,-62.37,823000000,-622200000,92,1983,1986,1983,1986,NA,NA,NA,NA
ALERT CLIMATE,NUNAVUT,2400305,42463,71355,ZLT,82.5,-62.33,823000000,-622000000,65.4,2004,2023,2004,2020,2004,2023,2005,2007
ARCTIC BAY,NUNAVUT,2400399,48973,NA,YAB,73.01,-85.05,730023000,-850250000,21.95,2011,2023,2011,2020,2018,2023,NA,NA
ARCTIC BAY A,NUNAVUT,2400401,50497,NA,YAB,73.01,-85.05,730023000,-850250000,21.9,2012,2023,2012,2020,NA,NA,NA,NA
ARCTIC BAY A,NUNAVUT,2400402,49328,NA,YAB,73.01,-85.05,730023000,-850250000,21.95,2011,2012,2011,2012,NA,NA,NA,NA
ARCTIC BAY CS,NUNAVUT,2400404,29517,71592,XAT,72.99,-85.01,725934000,-850044000,10,1999,2023,1999,2020,1999,2023,1999,2007
BLACK TOP RIDGE (AUT),NUNAVUT,2400559,7351,NA,WQN,80,-85.42,800000000,-852500000,619,1983,1986,1983,1986,NA,NA,NA,NA
BRAY ISLAND,NUNAVUT,2400560,1734,NA,,69.22,-77.25,691326000,-771449000,17.7,1959,1995,1980,1995,1959,1993,1959,1963
BREVOORT ISLAND,NUNAVUT,2400565,1735,71097,WOB,63.34,-64.15,632023000,-640845000,376,1959,2023,1980,2020,1959,2023,1959,2007
BROUGHTON ISLAND,NUNAVUT,2400570,1736,71096,WVD,67.54,-63.79,673208000,-634720000,584.4,1956,2022,1980,2020,1957,2022,1957,2007
QIKIQTARJUAQ AWOS,NUNAVUT,2400571,47428,71338,YVM,67.55,-64.03,673245000,-640153000,5.5,2008,2013,2008,2013,2008,2013,NA,NA
QIKIQTARJUAQ A,NUNAVUT,2400572,8271,71338,YVM,67.55,-64.03,673245000,-640153000,5.5,1988,2016,1988,2016,1994,2016,1994,2007
QIKIQTARJUAQ CLIMATE,NUNAVUT,2400573,42803,71357,ZVM,67.55,-64.03,673250700,-640200400,6.4,2005,2023,2005,2020,2005,2023,2005,2007
QIKIQTARJUAQ A,NUNAVUT,2400576,51177,NA,YVM,67.55,-64.03,673248000,-640154000,4.9,2013,2023,2013,2020,NA,NA,NA,NA
QIKIQTARJUAQ A,NUNAVUT,2400577,51218,NA,YVM,67.55,-64.03,673248000,-640154000,5.5,2013,2023,2013,2020,2013,2023,NA,NA
BYRON BAY A,NUNAVUT,2400595,1785,71929,YUK,68.75,-109.07,684500000,-1090400000,92.1,1955,1994,1980,1994,1957,1993,1957,1993
CAMBRIDGE BAY A,NUNAVUT,2400600,1786,71925,YCB,69.11,-105.14,690629000,-1050818000,31.09,1929,2015,1980,2015,1929,2015,1929,2015
CAMBRIDGE BAY A,NUNAVUT,2400601,53512,71925,YCB,69.11,-105.14,690629000,-1050814000,31.1,2015,2023,2015,2020,2015,2023,NA,NA
CAMBRIDGE BAY GSN,NUNAVUT,2400602,32233,71288,XCM,69.11,-105.14,690629000,-1050818000,18.69,2002,2023,2002,2020,2002,2023,2002,2007
CAMBRIDGE BAY A,NUNAVUT,2400603,54139,NA,YCB,69.11,-105.14,690629000,-1050814000,31.1,2016,2023,2016,2020,2018,2023,NA,NA
KINNGAIT AIRPORT,NUNAVUT,2400633,50288,NA,YTE,64.23,-79.53,641349000,-793130000,48.2,2012,2023,2012,2020,NA,NA,NA,NA
CAPE DORSET AWOS,NUNAVUT,2400634,47447,71910,YTE,64.23,-76.53,641348000,-763136000,48.2,2008,2012,2008,2012,2008,2012,NA,NA
CAPE DORSET A,NUNAVUT,2400635,1738,71910,YTE,64.23,-76.53,641349000,-763130000,48.2,1963,2014,1980,2014,1963,2014,1963,2007
KINNGAIT,NUNAVUT,2400636,43163,71575,NCD,64.23,-76.53,641350700,-763149600,50,2005,2023,2005,2020,2005,2023,2005,2007
KINNGAIT AIRPORT,NUNAVUT,2400637,50328,71366,YTE,64.23,-76.53,641349000,-763130000,48.2,2012,2023,2012,2020,2012,2023,NA,NA
CAPE DYER,NUNAVUT,2400650,1739,71094,WFD,66.65,-61.38,663900000,-612300000,725.1,1955,2023,1980,2020,1958,2023,1958,1959
